system,arm,epoch,train_traj,region,n_points,mean_of_means,median_of_means,p90_of_means,mean_of_medians,median_of_medians,p90_of_medians,mean_of_p90s,median_of_p90s,p90_of_p90s
cartpole,fm_disp_greedy_d05,14,1700,certain_success,14864,0.2859715223312378,0.07107380032539368,0.20501910150051117,0.25563547015190125,0.05814193934202194,0.1076057106256485,0.3364931344985962,0.09764186292886734,0.2188963145017624
cartpole,fm_disp_greedy_d05,14,1700,certain_failure,90181,1.3074126243591309,0.8150683045387268,2.198814630508423,1.0743287801742554,0.6956542730331421,1.6882407665252686,2.5672459602355957,1.4719003438949585,4.390983581542969
cartpole,fm_disp_greedy_d10,14,1700,full,115242,3.5601818561553955,3.142183542251587,6.065983295440674,3.4035558700561523,2.904313325881958,5.812941551208496,5.435511589050293,4.73128604888916,8.1427640914917
cartpole,fm_disp_greedy_d10,14,1700,certain_success,0,,,,,,,,,
cartpole,fm_disp_greedy_d10,14,1700,certain_failure,36327,3.300722122192383,2.420651435852051,7.227065086364746,3.019432544708252,2.0553016662597656,5.00132942199707,6.091121196746826,4.112443447113037,14.655952453613281
cartpole,fm_disp_prop_d05,14,1700,full,115242,1.19998037815094,0.7293592095375061,2.47438907623291,1.025015115737915,0.6041820049285889,1.707815408706665,2.306488513946533,1.2921069860458374,5.746191024780273
cartpole,fm_disp_prop_d05,14,1700,certain_success,14225,0.16250573098659515,0.061065673828125,0.13546247780323029,0.14888912439346313,0.052903078496456146,0.10368591547012329,0.17860642075538635,0.08028481900691986,0.15916867554187775
cartpole,fm_disp_prop_d05,14,1700,certain_failure,90050,1.2490804195404053,0.7945959568023682,2.022780179977417,1.05538010597229,0.6785815358161926,1.5962756872177124,2.4534623622894287,1.4155945777893066,3.498446226119995
cartpole,fm_disp_prop_d10,14,1700,full,115242,1.6515138149261475,1.150647759437561,3.4770917892456055,1.4290997982025146,0.9611325263977051,2.629870653152466,3.0209412574768066,2.051363468170166,6.269212245941162
cartpole,fm_disp_prop_d10,14,1700,certain_success,10918,0.248817577958107,0.1423555314540863,0.46833205223083496,0.14464756846427917,0.10649210214614868,0.1576784998178482,0.5232924222946167,0.19942520558834076,0.8262744545936584
cartpole,fm_disp_prop_d10,14,1700,certain_failure,82426,1.658818006515503,1.1413414478302002,2.992778778076172,1.4119571447372437,0.9842478632926941,2.1691009998321533,3.1202878952026367,2.0070042610168457,5.759075164794922
cartpole,fm_nonadapt,19,1250,full,115242,1.2919999361038208,0.6391725540161133,2.742552161216738,1.207903504371643,0.5213360786437988,2.0160104036331252,2.1995681146370565,1.0567247688770298,6.239804453849796
cartpole,fm_nonadapt,19,1250,certain_success,15648,0.10615626722574234,0.04003187268972397,0.08916312009096153,0.09382335841655731,0.03572496026754379,0.07359369844198228,0.11412870962556215,0.05428750030696393,0.11091312937438493
cartpole,fm_nonadapt,19,1250,certain_failure,89474,1.4009920358657837,0.7030516862869263,2.303775835037229,1.3322713375091553,0.5995177030563354,1.9129472494125364,2.3442025078313558,1.1728922843933107,5.186501779556272
cartpole,fm_ranked,19,1250,full,115242,1.4169200658798218,0.7098225355148315,3.031702637672425,1.2693159580230713,0.5974889993667603,2.342380642890931,2.5066335512521603,1.1137208878993992,6.5917943954467795
cartpole,fm_ranked,19,1250,certain_success,19818,0.10868357867002487,0.03450720012187958,0.10803325399756418,0.05792978033423424,0.0310199037194252,0.06579985693097112,0.24297273834977073,0.04729457292705776,0.11636905334889892
cartpole,fm_ranked,19,1250,certain_failure,93468,1.6654722690582275,0.8588382601737976,3.5649959564208986,1.5079656839370728,0.732189416885376,2.825761890411377,2.913228195046862,1.3717990219593053,7.260667915344247
pendulum,fm_direct,19,971,full,48770,0.15037992596626282,0.024057509377598763,0.3922179281711578,0.10426400601863861,0.021807443350553513,0.05655276328325271,0.3424977054595987,0.03898573815822602,1.3423126471042632
pendulum,fm_direct,19,971,certain_success,18587,0.017516065388917923,0.007492762990295887,0.019594555348157894,0.009932799264788628,0.006908525247126818,0.01834281496703626,0.04837945342347031,0.012852393090724945,0.03146419569849968
pendulum,fm_direct,19,971,certain_failure,28694,0.17893759906291962,0.03669319674372673,0.45414193272590647,0.11029193550348282,0.030574236065149307,0.06147044450044632,0.43142772420903325,0.06072059161961079,1.4707770931720738
pendulum,fm_disp_gdiv_d05,18,1900,full,48770,0.04354817047715187,0.013677931390702724,0.06237499415874481,0.024144969880580902,0.009993092156946659,0.03388761729001999,0.09990634024143219,0.02195049822330475,0.07055314630270004
pendulum,fm_disp_gdiv_d05,18,1900,certain_success,18176,0.03113427385687828,0.017706025391817093,0.06430218368768692,0.021013168618083,0.01306084729731083,0.050154753029346466,0.0559699721634388,0.02714528888463974,0.07794776558876038
pendulum,fm_disp_gdiv_d05,18,1900,certain_failure,29926,0.04080978408455849,0.011753624305129051,0.04787531495094299,0.020146409049630165,0.008713919669389725,0.02055344358086586,0.09817005693912506,0.019214164465665817,0.051161132752895355
pendulum,fm_disp_gdiv_d10,18,1900,full,48770,0.0321255624294281,0.009638503193855286,0.04474607855081558,0.018437275663018227,0.0077135032042860985,0.025070810690522194,0.07086586207151413,0.01544666662812233,0.054885510355234146
